course_id,title,platform,subscribers
stochasticprocesses,Stochastic processes,c,83
foundations-big-data-analysis-sql,Foundations for Big Data Analysis with SQL,c,157
innovation-through-design,"Innovation Through Design: Think, Make, Break, Repeat",c,95
perfect-tenses-modals,Perfect Tenses and Modals,c,726
cloud-azure-intro,Getting Started with Azure,c,62
moralities,Moralities of Everyday Life,c,572
revisao-sistematica,Revisão Sistemática e Meta-análise,c,469
child-development,Understanding child development: from synapse to society,c,44
introduction-g-suite,Introduction to G Suite,c,347
aprendiendo-a-aprender,Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),c,3090
batch-data-pipelines-gcp,Building Batch Data Pipelines on GCP,c,129
financial-planning,Financial Planning for Young Adults,c,82
quantitative-methods,Quantitative Methods,c,565
self-determination-theory,"Introduction to Self-Determination Theory: An approach to motivation, development and wellness",c,76
technology-of-music-production,The Technology of Music Production,c,235
intro-programming,Code Yourself! An Introduction to Programming,c,672
wharton-success,Success,c,268
chemicals-health,Chemicals and Health,c,196
statistical-inferences,Improving your statistical inferences,c,195
finance-fundamentals,Fundamentals of Finance,c,9
google-machine-learning,How Google does Machine Learning,c,963
object-oriented-design,Object-Oriented Design,c,282
introduction-intellectual-property,Introduction to Intellectual Property,c,81
uva-darden-bcg-pricing-strategy-cost-economics,Cost and Economics in Pricing Strategy,c,116
write-a-feature-length-screenplay-for-film-or-television,Write A Feature Length Screenplay For Film Or Television,c,32
marketing-gerencial,Marketing Gerencial,c,743
corporate-finance-essentials,Corporate Finance Essentials,c,575
information-security-data,Information Security: Context and Introduction,c,344
trunk-anatomy,"Anatomy of the Chest, Abdomen, and Pelvis",c,228
introcss,Introduction to CSS3,c,1515
applied-data-science-capstone,Applied Data Science Capstone,c,581
droits-de-lhomme,Introduction aux Droits de l’Homme,c,416
programming-languages,"Programming Languages, Part A",c,393
big-history,Big History: Connecting Knowledge,c,374
leadership-21st-century,Leadership in 21st Century Organizations,c,236
software-processes-and-agile-practices,Software Processes and Agile Practices,c,661
devops-culture-and-mindset,DevOps Culture and Mindset,c,74
introduction-statistics-data-analysis-public-health,Introduction to Statistics & Data Analysis in Public Health,c,157
discrete-optimization,Discrete Optimization,c,120
c-plus-plus-white,Основы разработки на C++: белый пояс,c,344
covid-19-contact-tracing-for-nursing-professionals,COVID-19 Contact Tracing For Nursing Professionals,c,7
high-stakes-leadership,High Stakes Leadership: Leading in Times of Crisis,c,27
epidemiology-tools,Essential Epidemiologic Tools for Public Health Practice,c,458
epigenetics,Epigenetic Control of Gene Expression,c,6
recruiting-hiring-onboarding-employees,"Recruiting, Hiring, and Onboarding Employees",c,191
aws-fundamentals-addressing-security-risk,AWS Fundamentals: Addressing Security Risk,c,252
plato,Ancient Philosophy: Plato & His Predecessors,c,76
social-innovation,Becoming a changemaker: Introduction to Social Innovation,c,58
spanish-in-healthcare-settings,Spanish for Successful Communication in Healthcare Settings,c,6
change-management,Leading transformations: Manage change,c,55
systems-engineering,Introduction to Systems Engineering,c,82
mcmc-bayesian-statistics,Bayesian Statistics: Techniques and Models,c,107
humanrights,Human Rights for Open Societies,c,73
introduction-to-computers-and-office-productivity-software,Introduction to Computers and Office Productivity Software,c,35
quantum-computing-algorithms,The Introduction to Quantum Computing,c,44
intercultural,Intercultural Management,c,63
getinmooc,Get Interactive: Practical Teaching with Technology,c,178
global-financial-markets-instruments,Global Financial Markets and Instruments,c,262
write-your-first-novel,Write Your First Novel,c,20
